Name,Degrees,Department,Department2,Rank,AdministrativePosition,Faculty
"Bahrami,Shirin ",Ph.D. Western ,Civil & Environmental ,,Lecturer ,,Engineering
"Bai,Donglin ",Ph.D. at CAMBRIDGE ; BSc MSc at PEKING ,Physiology and Pharmacology ,,Associate Professor ,,Schulich
"Baig,Mirza M ",MBBA U of Health Sciences PAK ,Department of Medicine ,,Assistant Professor/MD ,,Schulich
"Bailey,Christopher ",FRCPCan BPhEd MD at MCMASTER ; MSc at UBC ,Surgery ,,Associate Professor/MD ,,Schulich
"Bailey,Karen Ruth ","Bachelors, Masters CANADA ",Education - Continuing Educ ,,Lecturer ,,Education
"Bailey,Kathryn ",BMUS Pacific; MMUS Indiana; ,Music - Office of the Dean ,,Professor Emerita ,,Music
"Bailey,Kathryn A ",BSc at GUELPH ; MD at TORONTO ; MSc at UBC ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Bailey,Robert Charles ","BA, Ph.D. U of Guelph ",Biology ,Geography ,Adjunct Research Professor ,,Science
"Bailey,Stewart Irving ","BA, MD; FRCSCan ",Surgery ,,Professor Emeritus ,,Schulich
"Bailey,Terence ",BMUS Toronto; MFA Princeton; Ph.D. Washington; FRSC ; ,Music - Office of the Dean ,,Professor Emerita ,,Music
"Bain,James A. ",MD; FRCPCan ,Anesthesia-Perioperative Med ,,Professor Emeritus ,,Schulich
"Bainbridge,Daniel T ",MD FRCPCan at SASKATCHEWAN; at DUKE ; ,Anesthesia-Perioperative Med/Department of Medicine ,,Associate Professor/MD ,,Schulich
"Baines,Kim M ",BSc St Mary's (Halifax); Ph.D. Toronto; ,Chemistry ,Mechanical & Materials ,Professor ,Centre Director ,Science
