Name,Degrees,Department,Department2,Rank,AdministrativePosition,Faculty
"Shrubsole,Daniel A ",BA Laurentian; MA Laurier; Ph.D. Waterloo; ,Geography ,Science - Office of the Dean ,Professor ,Department Chair ,Social Science
"Shuey,Kim ",BA Franklin & Marshall College; Ph.D. Florida State; ,Sociology ,,Associate Professor ,Graduate Chair ,Social Science
"Shuh,Amy Ann ","BA, Western ",Business - Associate Dean ,,Lecturer ,,Ivey
"Shuja,Muhammad ",BE NED Univ of Engineering PAK ,Bachelor of Mgmt & Org Studies ,,Lecturer ,,Social Science
"Shukoor,Sajid ",BSc U of Saskatchewan; MBBS King Edward Med Col ,Pathology/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Shum,David Ting-Wai ",FRCPCan MD MBBS at HONG KONG ,Pathology/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Sibbald,Robert William ",BS Western; MS Univ of Torontooronto ,Family Medicine - General/Schulich - Education Office ,,Lecturer ,,Schulich
"Sibbald,Shannon L. ",BS Laurentian Univ; Ph.D. McMaster Univ ,School of Health Studies ,,Assistant Professor ,,Health Studies
"Sica,Robert J ",Ph.D. U of Alaska (Fairbanks) USA ,Physics and Astronomy ,,Professor ,,Science
"Sicular,Terry ","BA Pomona College; MA, MPHIL, Ph.D. Yale; ",Economics ,,Professor ,,Social Science
"Siddall,Tamara ","BS, Univ of Windsor; MD, Univ of Toronto ",Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Siddiqi,Fawaz ",BS U of Ottawa; MD Western ,Clinical Neurological Science/Surgery ,,Assistant Professor/MD ,,Schulich
"Siddiqi,Nilofar ",MBBS Fatimah Jinnah Med Co PAK; MD Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Siddiqui,Kamran ",BES Pakastan; PhD UWO ,Mechanical & Materials/Engineering WindEEE ,,Associate Professor ,Associate Chair ,Engineering
"Sider,Michael J ",BA Toronto; MA McMaster; Ph.D. Western; ,Business - Associate Dean ,,Assistant Professor ,,Ivey
"Sidhu,Katharina M. ","BFA Concordia, MFA New Mexica ",School of Health Studies ,,Lecturer ,,Health Studies
"Sidhu,Tarlochan S ","BE Thapar Institue of Engineering & Technology; MSc, PhD University of Saskatchewan; P.Eng. ",Electrical & Computer ,,Adjunct Research Professor ,,Engineering
"Siebert,Lee F ",BSc MSc MD at ALBERTA ; DIP FRCSCan at TORONTO ,Ophthalmology ,,Associate Professor/MD ,,Schulich
"Siegel,David ","Ph.D., Univ of Toronto ",Political Science - Local Gov ,,Assistant Professor ,,Social Science
"Sigamani,Dinesh N ","MBBS, Channai, IND; FRCA, RCCA, GBR ",Anesthesia-Perioperative Med/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Sigurdson,Craig W. ",BA/MA Ontario ,Psychiatry ,,Lecturer ,,Schulich
"Sigut,Thomas A ","BSc ; MSc, Ph.D. Toronto; ",Physics and Astronomy ,,Associate Professor ,,Science
"Silber,Elizabeth Allaryce ","BSc., Honors, Western ",Physics and Astronomy ,,Lecturer ,,Science
"Silcox,James A ",FRCSCan MD at Western ,Obstetrics & Gynaecology ,,Professor Emeritus ,,Schulich
"Silcox,Jennifer ","BA, Univ of Ottawa; MART, Univ of Ottawa ",Sociology ,,Lecturer ,,Social Science
"Silcox,Jo Ann ",FRCPCan MD at Western ,Psychiatry ,,Adjunct Professor ,,Schulich
"Silverberg,Eric ",HBA Western ,Business - Associate Dean ,,Lecturer ,,Ivey
"Simeunovic,Branko ",BS U of Windsor; MD Dalhousie ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Simner,Marvin Leroy ",BA Syracuse; MSc N Carolina State; Ph.D. Cincinnati; ,Psychology ,,Professor Emeritus ,,Social Science
"Simon,Gary ","Professional, Dalhousie Univ ",Anesthesia-Perioperative Med ,,Adjunct/MD ,,Schulich
"Simonovic,Slobodan ","BSc, MSc Belgrade; Ph.D., California; P.Eng. ",Civil & Environmental/Engineering WindEEE ,,Professor ,,Engineering
"Simpson,Craig M ","BA Notre Dame; MA, Ph.D. Stanford; ",History ,,Associate Professor ,,Social Science
"Simpson,David S ","BA, MBA Western; ",Business - Associate Dean ,,Lecturer ,,Ivey
"Simpson,Erika V ","BA Saskatchewan; MA, Ph.D. Toronto; ",Political Science ,,Associate Professor ,,Social Science
"Sims,Stephen M ",BA Ontario; Doctorate McMaster U ,Physiology and Pharmacology ,,Professor ,,Schulich
"Sinclair,Barbara L ","BScN, MScN, RegN ; ",Nursing ,,Lecturer ,,Health Sciences
"Sinclair,Brent J ","BSc, Ph.D. Otago ",Biology ,,Associate Professor ,,Science
"Sinclair,Nicholas R ","BSc, MD, Ph.D. Dalhousie ",Microbiology & Immunology ,,Professor Emeritus ,,Schulich
"Sinel,Zoe ","BA, UBC; JD, Univ of Toronto ",Law - Office of the Dean ,,Professor ,,Law
"Singer,Benjamin D. ","BA Wayne State; MA, Ph.D. Pennsylvania; ",Sociology ,,Professor Emeritus ,,Social Science
"Singer,Clarke David ","BA, BEd, MA ; ",Kinesiology - General ,,Lecturer ,,Health Sciences
"Singh,Abhay K ",FRCPCan BSc at BANARAS HINDU ; MBBS at NALANDA ,Psychiatry ,,Adjunct/MD ,,Schulich
"Singh,Anand ",BSc Yugoslavia; MASc Simon Fraser; Ph.D. Simon Fraser ,Mechanical & Materials ,,Professor ,,Engineering
"Singh,Anita ","BS, MD Dalhousie ",Family Medicine - General ,,Assistant Professor/MD ,,Schulich
"Singh,Baljit ",MBBS at HYDERABAD ; BSc at JAMMU ,Obstetrics & Gynaecology/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Singh,Bhagirath ",Ph.D. at AGRA ; BSc MSc at RAJASTHAN ,Microbiology & Immunology/Robarts - Immunology ,,Professor ,Department Chair ,Schulich
"Singh,Indu ",FRCP BSc BMedSc MD FRCPCan at MEMORIAL ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,,Schulich
"Singh,Mahi R ","BSc Gorakhpur; MSc, Ph.D. Baharas Hindi; ",Physics and Astronomy ,,Professor ,,Science
"Singh,Minesh ",MbChB U of Natal ZAF ,Surgery/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Singh,Rajiva Ranjan ",BS Saskatchewan ,Surgery ,,Adjunct/MD ,,Schulich
"Singh,Ram Nivas ",MBBS at RANCHI ,Paediatrics ,,Associate Professor/MD ,,Schulich
"Singh,Roderick ","BA, MSc, Ph.D. ",Anatomy & Cell Biology ,,Professor Emeritus ,,Schulich
"Singh,Shiva M ","Degree India, Ph.D. U of Alberta ",Biology ,,Professor ,,Science
"Singhal,Sharwan K ",BSc Agra; Ph.D. McGill ,Microbiology & Immunology ,,Professor Emeritus ,,Schulich
"Singleton,Ellen ","BA Alberta, Ph.D. Calgary ",Education - Office of the Dean ,,Professor Emerita ,,Education
"Sinnaeve,Linda J ",MD at Western ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Sinnamon,Gordon J ",Ph.D. McMaster ,Mathematics ,,Professor ,,Science
"Siqueira,Michelle ",DDS Univ of Santo Amaro BRAZIL; Ph.D. Boston Univ ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Siqueira,Walter L. ",DDS at SANTO AMARO ; Ph.D. at SAO PAULO ,Biochemistry/Dentistry ,,Assistant Professor ,,Schulich
"Sischek,William J ",FRCPCan MD at Western ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,,Schulich
"Sisler,Jeffrey ",FCFPC MD at MANITOBA ; MClSc at Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Sitko,Merrill C ","BA Toronto; MA, Ph.D. Michigan; ",Education - Office of the Dean ,,Professor Emeritus ,,Education
"Siu,Sam ",FRCP FRCP MD at ALBERTA ,Department of Medicine ,,Professor/MD ,,Schulich
"Siu,Sidney S ",Professional canada ,Department of Medicine ,,Adjunct/MD ,,Schulich
"Siu,Victoria Wenwai Mok ",FRCPCan MD at TORONTO ,Clinical Biochemistry/Paediatrics ,,Associate Professor ,Course Coordinator ,Schulich
"Skanes,Allan C ",FRCP MD at TORONTO ,Department of Medicine ,,Associate Professor/MD ,,Schulich
"Skarakis-Doyle,Elizabeth ","BA Ontario, Ph.D. California ",Communicative Sci & Disorders ,,Professor ,,Health Sciences
"Skelton,Anthony ",BA Manitoba; MA Dalhousie; Ph.D. Toronto; ,Philosophy ,,Associate Professor ,,Arts & Humanities
"Skelton,Robert A ","ARCT ; BMUS Toronto; DMUS, MMUS Indiana; ",Music - Office of the Dean ,,Professor Emeritus ,,Music
"Skoczylas,Anne ",BA London; MA Alberta; Ph.D. Western; ,History ,,Assistant Professor ,,Social Science
"Skoretz,Terry Gerrard ",FRCP BSc MD at Western ,Department of Medicine ,,Associate Professor/MD ,,Schulich
"Slater,Joan ","BA, MA Ontario ",Education - Preservice Office ,,Lecturer ,,Education
"Slivinski,Alan D ","BA Bowling Green; MA, Ph.D. Purdue; ",Economics ,,Associate Professor ,Undergraduate Chair ,Social Science
"Sliwinski,Sharon E ","BA Laurentian; MA, Ph.D. York; ",Info & Media Studies - General ,,Assistant Professor ,,Information & Media Studies
"Sloutsky,Larissa ","BA, MA Ontario ",French Studies ,,Lecturer ,,Arts & Humanities
"Small,Susan E ","BA,Ph.D. Western ",French Studies ,,Adjunct Associate Professor ,,Arts & Humanities
"Smallbridge,John E. ","BA, MA Toronto; ",Educ - English/Modern Lang ,,Professor Emeritus ,,Education
"Smallwood,John ","BA, MA Ontario ",Arts - Writing ,,Lecturer ,,Arts & Humanities
"Smart,Charles Chris ",BSc Bristol; MSc Alberta; Ph.D. McMaster; ,Geography ,,Professor ,,Social Science
"Smeenk,Christopher J ","BA Yale; MA, MS, Ph.D. Pittsburgh ",Philosophy ,,Associate Professor ,,Arts & Humanities
"Smeltzer,Sandra Christine ","BA Western; MA, Ph.D. Carleton; ",Info & Media Studies - General ,,Associate Professor ,,Information & Media Studies
"Smith-Fullerton,Romayne ","B Journalism Carleton; MA, Ph.D. Western; ",Info & Media Studies - General ,,Associate Professor ,,Information & Media Studies
"Smith,Carla ","BA, York Univ; Ph.D. York Univ ",Psychology ,,Adjunct Clinical Professor ,,Social Science
"Smith,David H ",MD at SASKATCHEWAN ; FRCPCan at Western ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,,Schulich
"Smith,Denis S. ","BA McGill, BA, MA, B.Litt Oxford, D.Litt Honoris Causa, Trent ",Political Science ,,Professor Emeritus ,,Social Science
"Smith,Donald R ",MD; FRCPCan ,Department of Medicine ,,Professor Emeritus ,,Schulich
"Smith,Drew ",BSc Antigonish; DDS Dalhousie; MSc Marquette ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Smith,Gary ",MD at TORONTO ,Paediatrics ,,Adjunct/MD ,,Schulich
"Smith,Julia A. ","Professional, Bachelors Canada ",Anesthesia-Perioperative Med/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Smith,L Graham ",BSc Leeds; MA Victoria; Ph.D. Waterloo; ,Geography ,,Associate Professor ,,Social Science
"Smith,Leslie D ","BA, MA Ontario ",Education - Preservice Office ,,Lecturer ,,Education
"Smith,Lori ",BS (Nursing) Lakehead ,Nursing ,,Lecturer ,,Health Sciences
"Smith,Myfanwy Susanne ","BA (Hon), Wester; LLB, Western ",Law - Office of the Dean ,,Lecturer ,,Law
"Smith,Norman B ",BSc MSc at GUELPH ; Ph.D. at MCGILL ,Clinical Biochemistry ,,Associate Professor ,,Schulich
"Smith,Pamela M ","BS, Univ St. Andrews, Scotland; MB ChB, Univ of Manchester, UK ",Pathology/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Smith,Patrick ","BS, Univ of Windsor; MD, Univ of Toronto ",Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Smith,Robert M ",MD Glasgow ,Department of Medical Imaging/Schulich - Education office ,,Adjunct/MD ,,Schulich
"Smith,Sharron Louise ","BS (Nursing) Charles Sturt Univ Australia, MA York ",Info & Media Studies - General ,,Lecturer ,,Information & Media Studies
"Smith,Stanley G ",Professional Degree Ireland ,Family Medicine ,,Professor Emeritus ,,Schulich
"Smout,Jennifer Anne ",BA U of Waterloo; MD Queen's Univ ,Political Science - Local Gov ,,Lecturer ,,Social Science
"Smyth,Robert J ",DDS Western ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Sneppova,Daniela ","BA, MFA Windsor; ",Info & Media Studies - General ,Visual Arts ,Associate Professor ,,Information & Media Studies
"Snider,Stacey ",BS U of Guelph; MD McMaster Univ ,Family Medicine - General ,,Adjunct/MD ,Course Coordinator ,Schulich
"Snowdon,Anne W ","BScN, Western; MSc; Ph.D. ",School of Health Studies ,Mechanical & Materials ,Professor ,,Health Studies
"Snowdon,Bruce A. ","BSc, MD Queen's ",Surgery/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Sobot,Robert ",BSc Belgrade; MASc British Columbia; ,Electrical & Computer ,,Associate Professor ,,Engineering
"Soderman,Mark ",FRCPCan MD at Western ,Anesthesia-Perioperative Med/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Soetemans,Jennifer ",BA McMaster; DPHIL Oxon; ,Bachelor of Mgmt & Org Studies ,,Lecturer ,,Social Science
"Solga,Kim ",BA Alberta; MA Dalhousie; MA King's College; Ph.D. Univ of Toronto ,English/Womens' Studies ,,Associate Professor ,,Arts & Humanities
"Solis-Oba,Roberto ","BA Mexicao, Ph.D. Purdue USA ",Computer Science ,,Associate Professor ,,Science
"Solomon,Robert ",LLB Osgoode Hall; LLM Yale; OF THE LAW SOCIETY OF UPPER CANADA ; ,Law - Office of the Dean ,,Professor ,,Law
"Soltan,Hubert ",BA/Ph.D. Ontario ,Paediatrics ,,Professor Emeritus ,,Schulich
"Somerset,J Alan ","BA Toronto; MA, Ph.D. Birmingham; ",English ,,Professor Emeritus ,,Arts & Humanities
"Sondhi,Jitin ","BS, Western; MD, Univ of Toronto ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Song,Tom Tai Young ",BSc MD at Western ,Surgery ,,Adjunct/MD ,,Schulich
"Song,Yang ",BS Peking; Ph.D. Iowa State ,Chemistry ,,Associate Professor ,,Science
"Sontrop,Jessica Marie ",BSc Ph.D. at Western ,Epidemiology and Biostatistics ,,Adjunct Assistant Professor ,,Schulich
"Sood,Vijay K ","Ph.D., Univ of Bradford, England ",Electrical & Computer ,,Adjunct Research Professor ,,Engineering
"Soong,Patrick Yen ",BSc MD at Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Soranaka,Isao ","BS Wisconsin State; MA, Ph.D. Wisconsin; ",History ,,Professor Emeritus ,,Social Science
"Soros,Peter ",Ph.D. Medizinische Hochshole Hanover ,Communicative Sci & Disorders ,,Adjunct Research Professor ,,Health Sciences
"Sorrentino,Richard M ","BA, Ph.D. SUNY(Buffalo); MA American(DC); ",Psychology ,,Professor ,,Social Science
"Sorsdahl,A. Kent ","BSC, MD Saskatchewan ",Surgery/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Soskin,Gillian Denise ",BSc DDS at Western ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Sottosanti,Maria ","BS, Western; MD, Queen's Univ ",Paediatrics ,,Adjunct/MD ,,Schulich
"Soulodre-LaFrance,Renee ",Ph.D. California ,History ,,Adjunct Research Professor ,,Social Science
"Southam,Gordon ","BSc, Ph.D. Guelph; ",Biology/Earth Sciences ,,Professor ,,Science
"Southen,Jonathon Michael ","BESc, Ph.D. ",Civil & Environmental ,,Assistant Professor ,,Engineering
"Southern,Robert F ",FRCSCan FRCPCan MD at Western ,Department of Medicine ,,Clinical Professor Emeritus ,,Schulich
"Sowerby,Leigh ","BS, Bishop's Univ; MD, Univ of Calgary ",Otolaryngology ,,Assistant Professor/MD ,,Schulich
"Spaic,Tamara ",BSc Memorial Univ ,Department of Medicine ,,Assistant Professor/MD ,,Schulich
"Spanner,Donald R. ","BA, Ph.D. Ontario ",Info & Media Studies - General ,History ,Assistant Professor ,,Information & Media Studies
"Sparling,David ","Ph.D., MBA, BSc (Biology) ",Business - Associate Dean ,,Professor ,,Ivey
"Sparrow,R Keith ",BMedSci MD at MEMORIAL ; BSc at NEW BRUNSWIC ,Diagnost Radiol & Nuclear Med/Schulich - Education Office ,,Associate Professor/MD ,,Schulich
"Spaulding,Sandi J ","BSc(OT) ; MSc, Ph.D. Waterloo; ",Occupational Therapy ,,Professor ,,Health Sciences
"Specht,Jacqueline Ann ","BA, MA, Ph.D. ; ",Education - Office of the Dean ,,Associate Professor ,,Education
"Speechley,Kathy N ",BA MA Ph.D. at Western ,Epidemiology and Biostatistics/Paediatrics ,,Professor ,,Schulich
"Speirs,Jack ",BSc/MD UBC ,Department of Medical Imaging/Schulich - Education office ,,Adjunct/MD ,,Schulich
"Spence,Ann K ",MD MClSc at Western ,Family Medicine - General ,,Associate Professor/MD ,,Schulich
"Spence,J. David ",FRCPCan FRCPCan MBA at TORONTO ; BA MD at Western ,Clinical Neurological Science/Robarts - Imaging ,,Professor/MD ,,Schulich
"Spence,Michael W ","BA, MA Toronto; Ph.D. S Illinois; ",Anthropology ,,Professor Emeritus ,,Social Science
"Spence,Nicholas David ",Ph.D. Western ,Sociology ,,Adjunct Research Professor ,,Social Science
"Spencer,David ","BA, MA York; Ph.D. Toronto; ",Info & Media Studies - General ,,Professor ,,Information & Media Studies
"Spencer,Farida ",Ph.D. ,Psychology ,,Adjunct Clinical Professor ,,Social Science
"Spencer,Hanna ",Ph.D. Prague; ,Modern Languages & Literatures ,,Professor Emerita ,,Arts & Humanities
"Spicer,Shawn ",BMUS McGill; MMUS Yale; OTP Royal Conservatory; ,Music - Performance Studies ,,Lecturer ,,Music
"Spouge,Alison ",FRCPCan MD at UBC ,Diagnost Radiol & Nuclear Med ,,Associate Professor/MD ,,Schulich
"Sprengler,Christine A ","BA, MA Western; Ph.D. London; ",Visual Arts/Womens' Studies ,,Associate Professor ,,Arts & Humanities
"Springer,Colvin D. ","Bachelors, Professional TTO ",Oncology/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Sprovieri,Carmen ","BA, MA, Gonzaga Univ, Spokane; BLS, UBC; MLS, Western ",Info & Media Studies - General ,,Lecturer ,,Information & Media Studies
"Squires,Philip ",MD at CALGARY ,Paediatrics/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Sridhar,Kumar ",FRCPCan FRCPCan MD MSc at Western ,Department of Medicine ,,Associate Professor/MD ,,Schulich
"Srivastava,Amresh K ",MRCPsy MD at BOMBAY ; MBBS at INDORE ,Psychiatry ,,Associate Professor/MD ,,Schulich
"St John,Jane E ",,Soc Science - Office of Dean ,,Professor Emeritus ,,Social Science
"St Laurent,Tammy ","BSN, York Univ ",Nursing ,,Lecturer ,,Health Sciences
"St Lawrence,Keith ",Ph.D. at Western ; BSc MSc at WINNIPEG ,Department of Medical Imaging/Medical Biophysics ,,Associate Professor ,,Schulich
"St Maurice,Jean-Pierre ","Degree Quebec, Ph.D. Yale U USA ",Physics and Astronomy ,,Professor Emeritus ,,Science
"St-Amand,Marc A ",FRCPCan BS MD at OTTAWA ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,,Schulich
"St-Amant,Oona Marie ","BS, Univ of Ottawa ",Nursing /School of Health Studies ,,Lecturer ,,Health Sciences
"St-Maurice,Myriam ","BA, Univ of Victoria, BC; MA, Western ",French Studies ,,Lecturer ,,Arts & Humanities
"St. Pierre,Jeffrey Craig ","BA, Ph.D. Ontario ",Psychology ,,Assistant Professor ,,Social Science
"Stachow,Ross Edward ",BSc at LAKEHEAD ; DDS at Western ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Stack,Rachel Anne ","BSc., Western; M.CI.Sc., Western ",Nursing ,,Adjunct Assistant Professor ,,Health Sciences
"Stahl,Matthew ","BA UC Berkeley, Ph.D. UC San Diego ",Info & Media Studies - General ,,Assistant Professor ,,Information & Media Studies
"Stainton,Robert J ",Ph.D. MIT ,Philosophy ,,Professor ,,Arts & Humanities
"Staley,Monica ","BN, Univ of Windsor; LLB, Univ of Windsor ",Family Medicine - General/Schulich - Windsor Campus ,,Adjunct Assistant Professor ,Course Coordinator ,Schulich
"Stanford,David A ","BSc Concordia; MEng, Ph.D. Carleton; USC Undergraduate Award of Excellence in Teaching (1999) ",Statistics & Actuarial Science ,,Professor ,,Science
"Stanford,Jason Thomas Lennox ","BMUS, Western; DMU, Univ of Toronto ",Music - Research & Composition ,,Assistant Professor ,,Music
"Stanley,Kate J ","BA, Queen's Univ; Ph.D., Columbia Univ, USA ",English ,,Assistant Professor ,,Arts & Humanities
"Stanton,Susan Gay ","BSc Toronto; MCISc Western, MSc Toronto; Ph.D. Toronto ",Communicative Sci & Disorders/National Centre for Audiology ,,Assistant Professor ,,Health Sciences
"Stapleford,Richard G ",BS DDS at Western ,Surgery/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Staples,James Francis ",BSc Guelph; Ph.D. British Columbia; ,Biology ,,Associate Professor ,,Science
"Stapleton,Robert ","Bs, MD U of Manitoba ",Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Stare,Liga ",MD FRCPCan at Western ,Paediatrics/Psychiatry ,,Adjunct/MD ,,Schulich
"Starkey,John ",Ph.D. UK ,Earth Sciences ,,Professor Emeritus ,,Science
"Starling,Jana ",BMUS Brandon Univ ,Music - Office of the Dean ,,Assistant Professor ,,Music
"Staroverov,Viktor N ","BSc Belarusian State Russian Federation, Ph.D. Indiana USA ",Chemistry ,,Associate Professor ,,Science
"State,Jonathon ","BS, Queen's Univ; MD, Univ of Toronto ",Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"State,Stephen ",Bachelors Canada; Ph.D. GBR ,Family Medicine - General ,,Adjunct Research Professor ,,Schulich
"Stathokostas,Liza ","BS, Ph.D. Western ",Kinesiology-Office of Director/School of Health Studies ,,Assistant Professor ,,Health Sciences
"Stavraky,Thomas ",BSc MSc at Western ,Physiology and Pharmacology ,,Lecturer ,,Schulich
"Steele,Ian K ",BA Alberta; Ph.D. London; ,History ,,Professor Emeritus ,,Social Science
"Steele,John F. ",BSc Dalhousie; MSc ; Ph.D. Saskatchewan; ,Biology ,,Adjunct Research Professor/Professor Emeritus ,,Science
"Steele,Margaret Mary ",FRCPCan MEd at TORONTO ; BSc MD at Western ,Psychiatry/Paediatrics/Family Medicine - General/Schulich - ,,Professor/MD ,Vice Dean/Program Director ,Schulich
"Steele,Shawn Patrick ","BA, DDS Western ",Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Steele,Sherry Irene ","BMUS, MMUS; ",Music - Performance Studies ,,Lecturer ,,Music
"Steele,Warren Donald ","BS, Ph.D. Western ",Info & Media Studies - General ,,Assistant Professor ,,Information & Media Studies
"Steen,Andrea R ","MD McMaster, BA Windsor ",Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Steer,John D ",BA NotreDam Univ; MSW Dalhousie ,Psychiatry - Ext Camp Program ,,Lecturer ,,Schulich
"Stein,Mitchell ","B Comm Honours, Queen's University ",Business - Associate Dean ,,Assistant Professor ,,Ivey
"Stein,Robert ",FRCPCan MD at MCGILL ,Paediatrics/Schulich - Education Office ,,Associate Professor/MD ,,Schulich
"Steinbock,Bernd K ","MA, Ph.D. Michigan; ",Classical Studies ,,Associate Professor ,,Arts & Humanities
"Steinbock,Kathryn Alice ","BA Western, Ph.D. U of Arizona ",Modern Languages & Literatures ,,Assistant Professor ,,Arts & Humanities
"Stelman,Ursula Mary ",BN U of Manitoba; MPA Western ,Political Science ,,Lecturer ,,Social Science
"Stephenson,Carol ","BA Ontario, MA Ryerson ",Business - Associate Dean ,,Dean ,,Ivey
"Stephenson,Laura B ","BA Western; MA, Ph.D. Duke; ",Political Science ,,Associate Professor ,Undergraduate Chair ,Social Science
"Stephenson,Mark ","BA, MA Ontario ",English ,,Assistant Professor ,,Arts & Humanities
"Stergiopoulos,Stergios ",BSc at ATHENS ; Ph.D. at YORK ,Medical Biophysics ,,Adjunct Research Professor ,,Schulich
"Steven,David A ",BSc MD at MANITOBA ; MPH at YALE ,Epidemiology and Biostatistics/Clinical Neurological Science ,,Associate Professor/MD ,,Schulich
"Stevenson,Janet Harriette ","BA, Western ",Soc Science - Office of Dean ,,Professor Emeritus ,,Social Science
"Steward,Judith E ","BA and MLIS, Western ",Info & Media Studies - General ,,Lecturer ,,Information & Media Studies
"Stewart,Christie Lynn ","BSc., Univ of Windsor; MSc., Univ of Windsor; Ph.D., Western ",Biology ,,Assistant Professor ,,Science
"Stewart,Geoffrey Charles ","BS, Dalhousie, NS; MART, Toronto ",History ,,Assistant Professor ,,Social Science
"Stewart,Gregory Eric ",BS Western; MD U of Ottawa ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Stewart,Moira A ",BSc at DALHOUSIE ; Ph.D. at Western ,Family Medicine/Epidemiology and Biostatistics ,,Professor ,,Schulich
"Stewart,Sarah ",FRCPCan BA MD at Western ,Clinical Neurological Science ,,Adjunct/MD ,,Schulich
"Stewart,Shannon ",MA at GUELPH ; BA at WATERLOO ; Ph.D. at YORK ,Psychology ,Psychiatry ,Adjunct Clinical Professor ,,Social Science
"Stiller,Calvin R ",MD Saskatchewan; FRCPCan ,Department of Medicine ,,Professor Emeritus ,,Schulich
"Stillman,Martin J ",Ph.D. U of East Anglia UK ,Chemistry ,,Professor ,,Science
"Stilson,Katherine ",BA/MD Western ,Occupational Therapy ,,Lecturer ,,Health Sciences
"Stinebrickner,Ralph ","BSc St Francis College NY, Ph.D. U of Iowa ",Economics ,,Adjunct Research Professor ,,Social Science
"Stinebrickner,Todd R ","BS Bonaventure; MA, Ph.D. Virginia; W. Glenn Campbell Fellow; CIBC Faculty Fellow ",Economics ,,Professor ,,Social Science
"Stingle,Richard Macmillan ","BA, MA Toronto; THE UNIVERSITY OF WESTERN ONTARIO EXCELLENCE IN TEACHING AWARD (1986) ; ",English ,,Professor Emeritus ,,Arts & Humanities
"Stirling,Glen A ",BMATH Waterloo; MA Ph.D. Western; ,Economics ,,Assistant Professor ,,Social Science
"Stocking,Charles ","BA, Stanford, USA; Ph.D. Univ of California, LA ",Classical Studies ,,Assistant Professor ,Graduate Chair ,Arts & Humanities
"Stodilka,Robert Z. ",BASc at TORONTO ; Ph.D. at Western ,Department of Medical Imaging/Medical Biophysics ,,Associate Professor ,,Schulich
"Stoffman,John Morris ",Professional Canada ,Paediatrics ,,Associate Professor/MD ,,Schulich
"Stokes,Jeffrey L ","BMUS, MA Rochester; Ph.D. SUNY(Buffalo); ",Music - Office of the Dean ,,Associate Professor ,,Music
"Stooke,Philip J ","BSc, Ph.D. Victoria; ",Geography ,,Associate Professor ,,Social Science
"Stooke,Rosamund Kathryn ","BGS Simon Fraser; MLIS, MEd, Ph.D. ",Education - Office of the Dean ,,Assistant Professor ,,Education
"Stouffer,James L ","BSc SUNY(Buff); MS, Ph.D. Penn State; ",Health Sciences- Dean's Office ,,Professor Emeritus ,,Health Sciences
"Stovel,Jessica ","BS, BSPH Univ of Torontooronto ",Psychiatry ,,Adjunct Assistant Professor ,,Schulich
"Straatman,Anthony G ","BESc; MESc; Ph.D., Waterloo; P.Eng. ",Mechanical & Materials ,,Professor ,,Engineering
"Strachan,Brian ","AWCM, BA, HONMUSED, MUSGPAED London; MM Michigan; ",Education - Office of the Dean ,,Professor Emeritus ,,Education
"Straulman,Ann T ",AB Wellesley; MA Kansas City; Ph.D. Wisconsin; ,English ,,Professor Emeritus ,,Arts & Humanities
"Strejan,Gill H ",MA Romania; Ph.D. Israel ,Microbiology & Immunology ,,Professor Emeritus ,,Schulich
